Adularia,KAlSi3O8
Antimonial Silver,(AgSb) Sb < 5%
Antimonselite,Sb2Se3
Antlerite,Cu3(SO4)(OH)4
Antozonite,CaF2
Anyuiite,AuPb2
Apachite,Cu9Si10O29 · 11H2O
Apatelite,Fe3(SO4)2(OH)5 · 0.5H2O
Apatite Supergroup,IXM1VII2M23(IVTO4)3X (Z= 2)
Aphrite (of Karsten),CaCO3
Aphrizite,A(D3)G6(T6O18)(BO3)3X3Z
Aphrosiderite,(FeMgAl)6(SiAl)4O10(OH)8
Aphthitalite,(KNa)3Na(SO4)2
Apjohnite,Mn2+Al2(SO4)4 · 22H2O
Aplowite,(CoMnNi)SO4 · 4H2O
Apthonite,(CuZnAg)12Sb4S13
Apuanite,Fe2+Fe3+4Sb3+4O12S
Aquacreptite (of Harada),Mg3Si4O10 · 5H2O or near
Aquacreptite (of Shepard),Mg4Fe2Si6O19 · 8H2O with some Al2O3 or near
Aquamarine,Be3Al2Si6O18
Argentojarosite,AgFe3+3(SO4)2(OH)6
Argentopentlandite,Ag(FeNi)8S8
Arsenogoyazite,SrAl3(AsO4)(AsO3OH)(OH)6
Argentocuproauride,Cu3(AuAg)
Arsenolite,As2O3
Arsenoflorencite-(La),LaAl3(AsO4)2(OH)6
Arsenoflorencite-(Nd),NdAl3(AsO4)2(OH)6
Arsenosulvanite,Cu3(AsV)S4
Argentodomeykite,(CuAg)3As
Argentopyrite,AgFe2S3
Argentocuprocosalite,(PbCuAg)2Bi2S5
Arsenohauchecornite,Ni18Bi3AsS16
Arsenotellurite,Te2As2S7
Arsenopalladinite,Pd8(AsSb)3
Arsenogorceixite,BaAl3(AsO4)(AsO3OH)(OH)6
Arsenopyrite,FeAsS
Argentogoongarrite,(PbAg)5Bi3S8
Aragonite,CaCO3
Aragotite,(CH)
Arakawaite,(CuZn)2Zn(PO4)2 · 2H2O
Aramayoite,Ag3Sb2(BiSb)S6
Aravaipaite,Pb3AlF9 · H2O
Arsenolamprite,As
Argentian Lillianite,(PbAg)3Bi2S6
Arcanite,K2SO4
Archerite,(KNH4)(H2PO4)
Arctite,Na2Ca4(PO4)3F
Arctolite,near (CaMg)Al2Si3O10 · H2O
Arcubisite,Ag6CuBiS4
Argentotennantite,Ag6[Cu4(FeZn)2]As4S13
Ardaite,Pb19Sb13S35Cl7
Ardealite,Ca2(HPO4)(SO4) · 4H2O
Ardennite-(As),Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6
Arfvedsonite,[Na][Na2][Fe2+4Fe3+]Si8O22(OH)2
Argentite,Ag2S
Argentoaikinite,(PbAg)CuBiS3
Argentoalgodonite,(CuAg)6As
